pogoda,sport,staz,plec,stan,miejsce
mrozno,lina,>10,mezczyzna,zmeczony,scianka
mrozno,lina,>10,mezczyzna,wypoczęty,skaly
mrozno,lina,>10,mezczyzna,srednie,skaly
mrozno,bouldering,<3,kobieta,zmeczony,skaly
mrozno,bouldering,<3,kobieta,wypoczęty,dom
mrozno,bouldering,<3,kobieta,srednie,scianka
mrozno,bouldering,<3,mezczyzna,zmeczony,skaly
mrozno,bouldering,<3,mezczyzna,wypoczęty,skaly
mrozno,bouldering,<3,mezczyzna,srednie,skaly
mrozno,bouldering,3-10,kobieta,zmeczony,dom
mrozno,bouldering,3-10,kobieta,wypoczęty,dom
mrozno,bouldering,3-10,kobieta,srednie,scianka
mrozno,bouldering,3-10,mezczyzna,zmeczony,dom
mrozno,bouldering,3-10,mezczyzna,wypoczęty,skaly
mrozno,bouldering,3-10,mezczyzna,srednie,scianka
mrozno,bouldering,>10,kobieta,zmeczony,skaly
mrozno,bouldering,>10,kobieta,wypoczęty,skaly
mrozno,bouldering,>10,kobieta,srednie,dom
mrozno,bouldering,>10,mezczyzna,zmeczony,scianka
mrozno,bouldering,>10,mezczyzna,wypoczęty,dom
mrozno,bouldering,>10,mezczyzna,srednie,dom
mrozno,czasowki,<3,kobieta,zmeczony,scianka
mrozno,czasowki,<3,kobieta,wypoczęty,skaly
mrozno,czasowki,<3,kobieta,srednie,skaly
mrozno,czasowki,<3,mezczyzna,zmeczony,scianka
mrozno,czasowki,<3,mezczyzna,wypoczęty,skaly
mrozno,czasowki,<3,mezczyzna,srednie,scianka
mrozno,czasowki,3-10,kobieta,zmeczony,scianka
mrozno,czasowki,3-10,kobieta,wypoczęty,dom
mrozno,czasowki,3-10,kobieta,srednie,scianka
mrozno,czasowki,3-10,mezczyzna,zmeczony,dom
mrozno,czasowki,3-10,mezczyzna,wypoczęty,skaly
mrozno,czasowki,3-10,mezczyzna,srednie,skaly
mrozno,czasowki,>10,kobieta,zmeczony,skaly
mrozno,czasowki,>10,kobieta,wypoczęty,skaly
mrozno,czasowki,>10,kobieta,srednie,dom
mrozno,czasowki,>10,mezczyzna,zmeczony,skaly
mrozno,czasowki,>10,mezczyzna,wypoczęty,scianka
mrozno,czasowki,>10,mezczyzna,srednie,scianka
